idx,Symbol,Company,Section,PF
0326,3031,（株）ラクーンホールディングス,プライム,
0327,3034,クオールホールディングス（株）,プライム,
0328,3035,ケイティケイ（株）,スタンダード,
0329,3036,アルコニックス（株）,プライム,
0330,3038,（株）神戸物産,プライム,
0331,3041,（株）ビューティカダンホールディングス,スタンダード,
0332,3042,（株）セキュアヴェイル,スタンダード,
0333,3046,（株）ジンズホールディングス,プライム,
0334,3048,（株）ビックカメラ,プライム,
0335,3050,ＤＣＭホールディングス（株）,プライム,
0336,3053,（株）ペッパーフードサービス,スタンダード,
0337,3058,（株）三洋堂ホールディングス,スタンダード,
0338,3059,ヒラキ（株）,スタンダード,
0339,3063,（株）ジェイグループホールディングス,グロース,
0340,3064,（株）ＭｏｎｏｔａＲＯ,プライム,
0341,3067,（株）東京一番フーズ,スタンダード,
0342,3069,（株）ＪＦＬＡホールディングス,スタンダード,
0343,3076,あい　ホールディングス（株）,プライム,
0344,3077,ホリイフードサービス（株）,スタンダード,
0345,3079,ディーブイエックス（株）,スタンダード,
0346,3082,（株）きちりホールディングス,スタンダード,
0347,3086,Ｊ．フロント　リテイリング（株）,プライム,
0348,3087,（株）ドトール・日レスホールディングス,プライム,
0349,3088,（株）マツキヨココカラ＆カンパニー,プライム,
0350,3089,テクノアルファ（株）,スタンダード,
0351,3092,（株）ＺＯＺＯ,プライム,
0352,3093,（株）トレジャー・ファクトリー,プライム,
0353,3097,（株）物語コーポレーション,プライム,
0354,3099,（株）三越伊勢丹ホールディングス,プライム,
0355,3101,東洋紡（株）,プライム,
0356,3103,ユニチカ（株）,スタンダード,
0357,3104,富士紡ホールディングス（株）,プライム,
0358,3105,日清紡ホールディングス（株）,プライム,
0359,3106,倉敷紡績（株）,プライム,
0360,3107,ダイワボウホールディングス（株）,プライム,
0361,3109,シキボウ（株）,プライム,
0362,3110,日東紡績（株）,プライム,
0363,3116,トヨタ紡織（株）,プライム,
0364,3121,マーチャント・バンカーズ（株）,スタンダード,
0365,3132,マクニカホールディングス（株）,プライム,
0366,3134,Ｈａｍｅｅ（株）,スタンダード,
0367,3135,（株）マーケットエンタープライズ,スタンダード,
0368,3137,（株）ファンデリー,スタンダード,
0369,3139,（株）ラクト・ジャパン,プライム,
0370,3140,ＢＲＵＮＯ（株）,グロース,
0371,3148,（株）クリエイトＳＤホールディングス,プライム,
0372,3150,（株）グリムス,プライム,
0373,3151,（株）バイタルケーエスケー・ホールディングス,プライム,
0374,3154,メディアスホールディングス（株）,プライム,
0375,3156,（株）レスター,プライム,
0376,3159,丸善ＣＨＩホールディングス（株）,スタンダード,
0377,3160,（株）大光,スタンダード,
0378,3166,ＯＣＨＩホールディングス（株）,スタンダード,
0379,3167,（株）ＴＯＫＡＩホールディングス,プライム,
0380,3168,（株）ＭＥＲＦ,スタンダード,
0381,3172,ティーライフ（株）,スタンダード,
0382,3176,三洋貿易（株）,プライム,
0383,3178,チムニー（株）,スタンダード,
0384,3179,シュッピン（株）,プライム,
0385,3180,（株）ビューティガレージ,プライム,
0386,3182,オイシックス・ラ・大地（株）,プライム,
0387,3183,ウイン・パートナーズ（株）,プライム,
0388,3186,（株）ネクステージ,プライム,
0389,3187,（株）ミラタップ,グロース,
0390,3191,（株）ジョイフル本田,プライム,
0391,3193,（株）エターナルホスピタリティグループ,プライム,
0392,3195,（株）ジェネレーションパス,スタンダード,
0393,3196,（株）ホットランドホールディングス,プライム,
0394,3197,（株）すかいらーくホールディングス,プライム,
0395,3199,綿半ホールディングス（株）,プライム,
0396,3201,日本毛織（株）,プライム,
0397,3204,（株）トーア紡コーポレーション,スタンダード,
0398,3205,（株）ダイドーリミテッド,スタンダード,
0399,3221,（株）ヨシックスホールディングス,プライム,
0400,3222,ユナイテッド・スーパーマーケット・ホールディングス（株）,スタンダード,
0401,3231,野村不動産ホールディングス（株）,プライム,
0402,3232,三重交通グループホールディングス（株）,プライム,
0403,3241,（株）ウィル,スタンダード,
0404,3242,（株）アーバネットコーポレーション,スタンダード,
0405,3245,（株）ディア・ライフ,プライム,
0406,3252,地主（株）,プライム,
0407,325A,（株）ＴＥＮＴＩＡＬ,グロース,
0408,3271,（株）ＴＨＥグローバル社,スタンダード,
0409,3276,（株）ＪＰＭＣ,プライム,
0410,3277,（株）サンセイランディック,スタンダード,
0411,3280,（株）エストラスト,スタンダード,
0412,3284,（株）フージャースホールディングス,プライム,
0413,3288,（株）オープンハウスグループ,プライム,
0414,3289,東急不動産ホールディングス（株）,プライム,
0415,3291,飯田グループホールディングス（株）,プライム,
0416,3299,（株）ムゲンエステート,スタンダード,
0417,3302,帝国繊維（株）,プライム,
0418,3315,日本コークス工業（株）,プライム,
0419,3320,クロスプラス（株）,スタンダード,
0420,3321,ミタチ産業（株）,スタンダード,
0421,3329,東和フードサービス（株）,スタンダード,
0422,332A,ミーク（株）,グロース,
0423,3333,（株）あさひ,プライム,
0424,3349,（株）コスモス薬品,プライム,
0425,3359,（株）ｃｏｔｔａ,グロース,
0426,3360,シップヘルスケアホールディングス（株）,プライム,
0427,3371,（株）ソフトクリエイトホールディングス,プライム,
0428,3372,（株）関門海,スタンダード,
0429,3374,内外テック（株）,スタンダード,
0430,3377,（株）バイク王＆カンパニー,スタンダード,
0431,3382,（株）セブン＆アイ・ホールディングス,プライム,
0432,3386,コスモ・バイオ（株）,スタンダード,
0433,3387,（株）クリエイト・レストランツ・ホールディングス,プライム,
0434,3388,明治電機工業（株）,プライム,
0435,3391,（株）ツルハホールディングス,プライム,
0436,3393,スターティアホールディングス（株）,プライム,
0437,3395,（株）サンマルクホールディングス,プライム,
0438,3397,（株）トリドールホールディングス,プライム,
0439,3399,（株）丸千代山岡家,スタンダード,
0440,3401,帝人（株）,プライム,
0441,3402,東レ（株）,プライム,
0442,3405,（株）クラレ,プライム,
0443,3407,旭化成（株）,プライム,
0444,3415,（株）ＴＯＫＹＯ　ＢＡＳＥ,プライム,
0445,3422,（株）Ｊ－ＭＡＸ,スタンダード,
0446,3423,（株）エスイー,スタンダード,
0447,3431,宮地エンジニアリンググループ（株）,プライム,
0448,3433,トーカロ（株）,プライム,
0449,3436,（株）ＳＵＭＣＯ,プライム,
0450,3443,川田テクノロジーズ（株）,プライム,
0451,3444,（株）菊池製作所,スタンダード,
0452,3445,（株）ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム,
0453,3446,（株）ジェイテックコーポレーション,スタンダード,
0454,3449,（株）テクノフレックス,スタンダード,
0455,3452,（株）ビーロット,スタンダード,
0456,3454,ファーストブラザーズ（株）,スタンダード,
0457,3457,（株）Ａｎｄ　Ｄｏホールディングス,プライム,
0458,3465,ケイアイスター不動産（株）,プライム,
0459,3475,（株）グッドコムアセット,プライム,
0460,3479,（株）ＴＫＰ,グロース,
0461,3480,（株）ジェイ・エス・ビー,プライム,
0462,3482,ロードスターキャピタル（株）,プライム,
0463,3484,（株）イノベーションホールディングス,スタンダード,
0464,3486,（株）グローバル・リンク・マネジメント,プライム,
0465,3489,（株）フェイスネットワーク,スタンダード,
0466,3498,霞ヶ関キャピタル（株）,プライム,
0467,3501,ＳＵＭＩＮＯＥ（株）,プライム,
0468,3521,テルマー湯ホールディングス（株）,スタンダード,
0469,3529,アツギ（株）,スタンダード,
0470,3538,（株）ウイルプラスホールディングス,スタンダード,
0471,3539,（株）ＪＭホールディングス,プライム,
0472,3542,（株）ベガコーポレーション,グロース,
0473,3543,（株）コメダホールディングス,プライム,
0474,3544,サツドラホールディングス（株）,スタンダード,
0475,3547,（株）ユニシアホールディングス,スタンダード,
0476,3548,（株）バロックジャパンリミテッド,プライム,
0477,3549,（株）クスリのアオキホールディングス,プライム,
0478,3553,共和レザー（株）,スタンダード,
0479,3559,（株）ピーバンドットコム,スタンダード,
0480,3561,（株）力の源ホールディングス,プライム,
0481,3563,（株）ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,プライム,
0482,3565,アセンテック（株）,スタンダード,
0483,3569,セーレン（株）,プライム,
0484,3571,（株）ソトー,スタンダード,
0485,3580,小松マテーレ（株）,プライム,
0486,3591,（株）ワコールホールディングス,プライム,
0487,3608,（株）ＴＳＩホールディングス,プライム,
0488,3611,（株）マツオカコーポレーション,スタンダード,
0489,3612,（株）ワールド,プライム,
0490,3626,ＴＩＳ（株）,プライム,
0491,3627,テクミラホールディングス（株）,スタンダード,
0492,3632,グリーホールディングス（株）,プライム,
0493,3635,（株）コーエーテクモホールディングス,プライム,
0494,3636,（株）三菱総合研究所,プライム,
0495,3639,（株）ボルテージ,スタンダード,
0496,3640,（株）電算,スタンダード,
0497,3645,（株）メディカルネット,グロース,
0498,3648,ＡＧＳ（株）,スタンダード,
0499,3649,（株）ファインデックス,プライム,
0500,3653,（株）モルフォ,グロース,
0501,3656,ＫＬａｂ（株）,プライム,
0502,3657,ポールトゥウィンホールディングス（株）,プライム,
0503,3659,（株）ネクソン,プライム,
0504,3660,（株）アイスタイル,プライム,
0505,3661,（株）エムアップホールディングス,プライム,
0506,3662,（株）エイチームホールディングス,プライム,
0507,3663,（株）セルシス,プライム,
0508,3664,（株）ＷＩＺＥ,グロース,
0509,3665,（株）エニグモ,プライム,
0510,3667,（株）ｅｎｉｓｈ,スタンダード,
0511,3668,（株）コロプラ,プライム,
0512,3673,（株）ブロードリーフ,プライム,
0513,3674,（株）オークファン,グロース,
0514,3675,（株）クロス・マーケティンググループ,スタンダード,
0515,3676,（株）デジタルハーツホールディングス,プライム,
0516,3678,（株）メディアドゥ,プライム,
0517,3679,（株）じげん,プライム,
0518,3680,（株）ホットリンク,グロース,
0519,3682,エンカレッジ・テクノロジ（株）,スタンダード,
0520,3683,（株）サイバーリンクス,スタンダード,
0521,3686,（株）ディー・エル・イー,スタンダード,
0522,3687,（株）フィックスターズ,プライム,
0523,3690,（株）イルグルム,スタンダード,
0524,3692,（株）ＦＦＲＩセキュリティ,グロース,
0525,3694,（株）オプティム,プライム,
0526,3696,（株）セレス,プライム,
0527,3697,（株）ＳＨＩＦＴ,プライム,
0528,3698,（株）ＣＲＩ・ミドルウェア,スタンダード,
0529,3708,特種東海製紙（株）,プライム,
0530,3710,ジョルダン（株）,スタンダード,
0531,3712,（株）情報企画,スタンダード,
0532,3733,（株）ソフトウェア・サービス,スタンダード,
0533,3741,（株）セック,プライム,
0534,3744,サイオス（株）,スタンダード,
0535,3747,（株）インタートレード,スタンダード,
0536,3758,（株）アエリア,スタンダード,
0537,3762,テクマトリックス（株）,プライム,
0538,3765,ガンホー・オンライン・エンターテイメント（株）,プライム,
0539,3768,リスクモンスター（株）,スタンダード,
0540,3769,ＧＭＯペイメントゲートウェイ（株）,プライム,
0541,3771,（株）システムリサーチ,プライム,
0542,3773,（株）アドバンスト・メディア,グロース,
0543,3774,（株）インターネットイニシアティブ,プライム,
0544,3778,さくらインターネット（株）,プライム,
0545,3788,ＧＭＯグローバルサイン・ホールディングス（株）,プライム,
0546,3791,（株）ＩＧポート,スタンダード,
0547,3793,（株）ドリコム,グロース,
0548,3796,（株）いい生活,スタンダード,
0549,3799,キーウェアソリューションズ（株）,スタンダード,
0550,3807,（株）フィスコ,グロース,
0551,3817,（株）ＳＲＡホールディングス,プライム,
0552,3826,（株）システムインテグレータ,スタンダード,
0553,3834,（株）朝日ネット,プライム,
0554,3835,ｅＢＡＳＥ（株）,プライム,
0555,3836,（株）アバントグループ,プライム,
0556,3837,アドソル日進（株）,プライム,
0557,3839,（株）ＯＤＫソリューションズ,スタンダード,
0558,3843,フリービット（株）,プライム,
0559,3844,コムチュア（株）,プライム,
0560,3848,（株）データ・アプリケーション,スタンダード,
0561,3851,（株）日本一ソフトウェア,スタンダード,
0562,3853,アステリア（株）,プライム,
0563,3861,王子ホールディングス（株）,プライム,
0564,3863,日本製紙（株）,プライム,
0565,3864,三菱製紙（株）,プライム,
0566,3865,北越コーポレーション（株）,プライム,
0567,3877,中越パルプ工業（株）,プライム,
0568,3878,（株）巴川コーポレーション,スタンダード,
0569,3880,大王製紙（株）,プライム,
0570,3891,ニッポン高度紙工業（株）,スタンダード,
0571,3892,（株）岡山製紙,スタンダード,
0572,3900,（株）クラウドワークス,グロース,
0573,3901,マークラインズ（株）,プライム,
0574,3903,（株）ｇｕｍｉ,プライム,
0575,3905,データセクション（株）,グロース,
0576,3912,（株）モバイルファクトリー,スタンダード,
0577,3914,ＪＩＧ－ＳＡＷ（株）,グロース,
0578,3915,（株）テラスカイ,プライム,
0579,3916,デジタル・インフォメーション・テクノロジー（株）,プライム,
0580,3917,（株）アイリッジ,グロース,
0581,3920,アイビーシー（株）,スタンダード,
0582,3921,（株）ネオジャパン,プライム,
0583,3922,（株）ＰＲ　ＴＩＭＥＳ,プライム,
